Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
A comprehensive survey of feature selection techniques based on whale optimization algorithm,Multimedia Tools and Applications,,,,10.1007/s11042-023-17329-y,Mohammad AmiriebrahimabadiNajme Mansouri,2023,https://link.springer.com/article/10.1007/s11042-023-17329-y,Article
Innovation Processes in Universities: A Conceptual Model Incorporating Digital Transformation and Technological Innovations,"Advanced Research in Technologies, Information, Innovation and Sustainability",,,,10.1007/978-3-031-84078-4_8,Zornitsa Yordanova,2025,https://link.springer.com/chapter/10.1007/978-3-031-84078-4_8,Conference paper
Artificial Intelligence and NDE Competencies,Handbook of Nondestructive Evaluation 4.0,,,,10.1007/978-3-031-84477-5_24,Ramon Salvador Fernandez OrozcoKimberley HayesKatie CarpenterFrancisco Gayosso,2025,https://link.springer.com/rwe/10.1007/978-3-031-84477-5_24,Reference work entry
Application of Quantum-Based K-Nearest Neighbors Algorithm in Optical Fiber Classification,"Intelligent Control, Robotics, and Industrial Automation",,,,10.1007/978-981-99-4634-1_71,H. B. RameshKaustav Bhowmick,2023,https://link.springer.com/chapter/10.1007/978-981-99-4634-1_71,Conference paper
Beyond classical approaches: redefining the landscape of high-accurate movie recommendation using QNN,The Journal of Supercomputing,,,,10.1007/s11227-024-06746-x,Bam Bahadur SinhaRamnish SinhaVishnu Priye,2024,https://link.springer.com/article/10.1007/s11227-024-06746-x,Article
Using machine learning algorithms to enhance IoT system security,Scientific Reports,,,,10.1038/s41598-024-62861-y,Hosam El-SofanySamir A. El-SeoudOmar H. KaramBelgacem Bouallegue,2024,https://link.springer.com/article/10.1038/s41598-024-62861-y,Article
"Quantum machine learning: a systematic categorization based on learning paradigms, NISQ suitability, and fault tolerance",Quantum Machine Intelligence,,,,10.1007/s42484-025-00266-4,Bisma MajidShabir Ahmed SofiZamrooda Jabeen,2025,https://link.springer.com/article/10.1007/s42484-025-00266-4,Article
Big Data,Big Data Analytics,,,,10.1007/978-3-031-55639-5_2,Ümit DemirbagaGagangeet Singh AujlaAnish JindalOğuzhan Kalyon,2024,https://link.springer.com/chapter/10.1007/978-3-031-55639-5_2,Chapter
Future Trends and Emerging Technologies,Scalable AI and Design Patterns,,,,10.1007/979-8-8688-0158-7_11,Abhishek Mishra,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0158-7_11,Chapter
"Machine learning based customer sentiment analysis for recommending shoppers, shops based on customers’ review",Complex & Intelligent Systems,,,,10.1007/s40747-020-00155-2,Shanshan YiXiaofang Liu,2020,https://link.springer.com/article/10.1007/s40747-020-00155-2,Article
Digital Technology,Understanding the Digital and AI Transformation,,,,10.1007/978-981-96-0033-5_4,Byeong Gi Lee,2025,https://link.springer.com/chapter/10.1007/978-981-96-0033-5_4,Chapter
Perception and argumentation in the LK-99 superconductivity controversy: a sentiment and argument mining analysis,Scientific Reports,,,,10.1038/s41598-025-98554-3,Eunhye KimWei LuoHunkoog Jho,2025,https://link.springer.com/article/10.1038/s41598-025-98554-3,Article
The Universe of Technology,Redecentralisation,,,,10.1007/978-3-031-21591-9_3,Ruth WandhöferHazem Danny Nakib,2023,https://link.springer.com/chapter/10.1007/978-3-031-21591-9_3,Chapter
Quantum Algorithms,Quantum Technology for Economists,,,,10.1007/978-3-031-50780-9_3,Isaiah HullOr SattathEleni DiamantiGöran Wendin,2024,https://link.springer.com/chapter/10.1007/978-3-031-50780-9_3,Chapter
A novel image classification framework based on variational quantum algorithms,Quantum Information Processing,,,,10.1007/s11128-024-04566-9,Yixiong Chen,2024,https://link.springer.com/article/10.1007/s11128-024-04566-9,Article
Towards the&#xa0;Automated Population of&#xa0;Thesauri Using BERT: A Use Case on&#xa0;the&#xa0;Cybersecurity Domain,"Advances in Internet, Data & Web Technologies",,,,10.1007/978-3-031-53555-0_10,Elena CardilloAlessio PortaroMaria TavernitiClaudia LanzaRaffaele Guarasci,2024,https://link.springer.com/chapter/10.1007/978-3-031-53555-0_10,Conference paper
"Edge AI: A Taxonomy, Systematic Review and Future Directions",Cluster Computing,,,,10.1007/s10586-024-04686-y,Sukhpal Singh GillMuhammed GolecJianmin HuMinxian XuJunhui DuHuaming WuGuneet Kaur WaliaSubramaniam Subramanian MurugesanBabar AliMohit KumarKejiang YePrabal VermaSurendra KumarFelix CuadradoSteve Uhlig,2024,https://link.springer.com/article/10.1007/s10586-024-04686-y,Article
Artificial Intelligence and the Medicine of the Future,Gerontechnology. A Clinical Perspective,,,,10.1007/978-3-031-32246-4_12,Richard WoodmanArduino Alexander Mangoni,2023,https://link.springer.com/chapter/10.1007/978-3-031-32246-4_12,Chapter
Proceedings of International Conference on Computational Intelligence,Algorithms for Intelligent Systems,,,,10.1007/978-981-19-2126-1,Ritu TiwariMario F. PavoneRanjith Ravindranathan Nair,2022,https://link.springer.com/book/10.1007/978-981-19-2126-1,Conference proceedings
Current studies and applications of Krill Herd and Gravitational Search Algorithms in healthcare,Artificial Intelligence Review,,,,10.1007/s10462-023-10559-4,Rebwar Khalid HamadTarik A. Rashid,2023,https://link.springer.com/article/10.1007/s10462-023-10559-4,Article
Exploring the Evolution of Artificial Intelligence and the Fourth Industrial Revolution an Overview,FinTech and Artificial Intelligence for Sustainable Development,,,,10.1007/978-3-031-37776-1_2,David Mhlanga,2023,https://link.springer.com/chapter/10.1007/978-3-031-37776-1_2,Chapter
15 years of Big Data: a systematic literature review,Journal of Big Data,,,,10.1186/s40537-024-00914-9,Davide TosiRedon KokajMarco Roccetti,2024,https://link.springer.com/article/10.1186/s40537-024-00914-9,Article
Improving Learning Experience and Privacy in Education Using the Power of Big Data and Artificial Intelligence,Integrated Business Models in the Digital Age,,,,10.1007/978-3-030-97877-8_11,Usman Javed ButtAristeidis DavelisMaysam AbbodCaleb EghanHaiiel-Marie Agbo,2022,https://link.springer.com/chapter/10.1007/978-3-030-97877-8_11,Chapter
Beyond games: a systematic review of neural Monte Carlo tree search applications,Applied Intelligence,,,,10.1007/s10489-023-05240-w,Marco KemmerlingDaniel LüttickeRobert H. Schmitt,2023,https://link.springer.com/article/10.1007/s10489-023-05240-w,Article
Modern Machine Learning: Applications and Methods,Machine Learning and Artificial Intelligence with Industrial Applications,,,,10.1007/978-3-030-91006-8_2,Xabier Cid VidalLorena Dieste MaroñasÁlvaro Dosil Suárez,2022,https://link.springer.com/chapter/10.1007/978-3-030-91006-8_2,Chapter
Big Data Streaming and Data Analytics Infrastructure for Efficient AI-Based Processing,Recent Advances in Microelectronics Reliability,,,,10.1007/978-3-031-59361-1_9,Fatima tu ZahraYavuz Selim BostanciOzay TokgozluMalik TurkogluMujdat Soyturk,2024,https://link.springer.com/chapter/10.1007/978-3-031-59361-1_9,Chapter
Overview of Applications of Artificial Intelligence (AI) in Diverse Fields,Application of Artificial Intelligence in Wastewater Treatment,,,,10.1007/978-3-031-69433-2_2,Nikki KuharPoonam KumriaSwati Rani,2024,https://link.springer.com/chapter/10.1007/978-3-031-69433-2_2,Chapter
Emerging Technologies,Emerging Technologies,,,,10.1007/978-3-031-07127-0_2,Sinan Küfeoğlu,2022,https://link.springer.com/chapter/10.1007/978-3-031-07127-0_2,Chapter
Editorial,International Journal of Information Technology,,,,10.1007/s41870-024-01930-x,M. N. Hoda,2024,https://link.springer.com/article/10.1007/s41870-024-01930-x,Article
"The Impact of AI on Business, Economics and Innovation",Artificial Intelligence for Business,,,,10.1007/978-3-030-88241-9_3,Ana Landeta Echeberria,2022,https://link.springer.com/chapter/10.1007/978-3-030-88241-9_3,Chapter
Main Martechs in Brief,Digital Marketing Technologies,,,,10.1007/978-981-97-0607-5_5,Hashem AghazadehMozhde Khoshnevis,2024,https://link.springer.com/chapter/10.1007/978-981-97-0607-5_5,Chapter
Artificial Intelligence in travel,Artificial Intelligence and Machine Learning in the Travel Industry,,,,10.1007/978-3-031-25456-7_13,B. Vinod,2023,https://link.springer.com/chapter/10.1007/978-3-031-25456-7_13,Chapter
Technological Advancements in Photonics and Electronics: The Machine Learning Perspective,Innovations and Dynamics in Photonics and Electronics,,,,10.1007/978-981-96-3065-3_6,Shital TankPriyanka MishraMahuya BandyopadhyayJagat Jyoti Rath,2025,https://link.springer.com/chapter/10.1007/978-981-96-3065-3_6,Chapter
Knowledge Graph Induction Enabling Recommending and&#xa0;Trend Analysis: A Corporate Research Community Use Case,The Semantic Web – ISWC 2022,,,,10.1007/978-3-031-19433-7_47,Nandana MihindukulasooriyaMike SavaGaetano RossielloMd. Faisal Mahbub ChowdhuryIrene YachbesAditya GidhJillian DuckwitzKovit NisarMichael SantosAlfio Gliozzo,2022,https://link.springer.com/chapter/10.1007/978-3-031-19433-7_47,Conference paper
A Systematic Review of Database Systems in Science and Engineering,"Bridging Horizons in Artificial Intelligence, Robotics, Cybersecurity, Smart Cities, and Digital Economy",,,,10.1007/978-3-031-72029-1_13,Shefqet MedaHiqmet Kamberaj,2025,https://link.springer.com/chapter/10.1007/978-3-031-72029-1_13,Conference paper
Predicting Bitcoin’s Price: A Critical Review of&#xa0;Forecasting Models and&#xa0;Methods,"Future Data and Security Engineering. Big Data, Security and Privacy, Smart City and Industry 4.0 Applications",,,,10.1007/978-981-96-0434-0_3,Tuan Luc MinhRoman SenkerikTran Khanh Dang,2024,https://link.springer.com/chapter/10.1007/978-981-96-0434-0_3,Conference paper
Translation Pedagogy,Multidisciplinary Insights into Translation Studies,,,,10.1007/978-3-031-87205-1_4,Jozef Štefčík,2025,https://link.springer.com/chapter/10.1007/978-3-031-87205-1_4,Chapter
Analyzing the impact of deep learning algorithms and fuzzy logic approach for remote English translation,Scientific Reports,,,,10.1038/s41598-024-64831-w,Xiuying Han,2024,https://link.springer.com/article/10.1038/s41598-024-64831-w,Article
A survey of recent machine learning techniques for stock prediction methodologies,Neural Computing and Applications,,,,10.1007/s00521-024-10867-y,Vijay Kumar VishwakarmaNarayan P. Bhosale,2024,https://link.springer.com/article/10.1007/s00521-024-10867-y,Article
Artificial Intelligence as a Driver of Breakthrough Technologies: Global Trends and Lessons for Russia,Studies on Russian Economic Development,,,,10.1134/S1075700725700108,I. E. FrolovV. N. Kiselev,2025,https://link.springer.com/article/10.1134/S1075700725700108,Article
"Introduction to Data Analytics, Big Data, and Machine Learning",Data Analytics and Machine Learning,,,,10.1007/978-981-97-0448-4_1,Youddha Beer SinghAditya Dev MishraMayank DixitAtul Srivastava,2024,https://link.springer.com/chapter/10.1007/978-981-97-0448-4_1,Chapter
GenAI in the Spotlight,Generative AI with SAP and Amazon Bedrock,,,,10.1007/979-8-8688-0968-2_2,Miguel Figueiredo,2025,https://link.springer.com/chapter/10.1007/979-8-8688-0968-2_2,Chapter
Quo vadis artificial intelligence?,Discover Artificial Intelligence,,,,10.1007/s44163-022-00022-8,Yuchen JiangXiang LiHao LuoShen YinOkyay Kaynak,2022,https://link.springer.com/article/10.1007/s44163-022-00022-8,Article
Data science and AI in FinTech: an overview,International Journal of Data Science and Analytics,,,,10.1007/s41060-021-00278-w,Longbing CaoQiang YangPhilip S. Yu,2021,https://link.springer.com/article/10.1007/s41060-021-00278-w,Article
Exploring the Relationship Between AI Adoption and the Integration of Digital Technology in Enterprises,Proceedings of 22nd International Conference on Informatics in Economy (IE 2023),,,,10.1007/978-981-99-6529-8_11,Ioana Andreea BogoslovEduard Alexandru StoicaBayraktar Dorin,2024,https://link.springer.com/chapter/10.1007/978-981-99-6529-8_11,Conference paper
Artificial Intelligence and Its Application in Cardiovascular Disease Management,Machine Learning and Systems Biology in Genomics and Health,,,,10.1007/978-981-16-5993-5_9,Vigneshwaran NamasivayamNithyashree SenguttuvanVenkatesan SaravananSenthilkumar PalaniappanMuthu Kumaradoss Kathiravan,2022,https://link.springer.com/chapter/10.1007/978-981-16-5993-5_9,Chapter
Overview of&#xa0;the&#xa0;CLEF 2022 SimpleText Lab: Automatic Simplification of&#xa0;Scientific Texts,"Experimental IR Meets Multilinguality, Multimodality, and Interaction",,,,10.1007/978-3-031-13643-6_28,Liana ErmakovaEric SanJuanJaap KampsStéphane HuetIrina OvchinnikovaDiana NurbakovaSílvia AraújoRadia HannachiElise MathurinPatrice Bellot,2022,https://link.springer.com/chapter/10.1007/978-3-031-13643-6_28,Conference paper
A multi-classification classifier based on variational quantum computation,Quantum Information Processing,,,,10.1007/s11128-023-04151-6,Jie ZhouDongfen LiYuqiao TanXiaolong YangYundan ZhengXiaofang Liu,2023,https://link.springer.com/article/10.1007/s11128-023-04151-6,Article
Artificial Intelligence Paradigms and Agent-Based Technologies,Human-Centered AI: An Illustrated Scientific Quest,,,,10.1007/978-3-031-61375-3_3,Luis Macedo,2025,https://link.springer.com/chapter/10.1007/978-3-031-61375-3_3,Chapter
Large circuit models: opportunities and challenges,Science China Information Sciences,,,,10.1007/s11432-024-4155-7,Lei ChenYiqi ChenZhufei ChuWenji FangTsung-Yi HoRu HuangYu HuangSadaf KhanMin LiXingquan LiYu LiYun LiangJinwei LiuYi LiuYibo LinGuojie LuoHongyang PanZhengyuan ShiGuangyu SunDimitrios TsarasRunsheng WangZiyi WangXinming WeiZhiyao XieQiang XuChenhao XueJunchi YanJun YangBei YuMingxuan YuanEvangeline F. Y. YoungXuan ZengHaoyi ZhangZuodong ZhangYuxiang ZhaoHui-Ling ZhenZiyang ZhengBinwu ZhuKeren ZhuSunan Zou,2024,https://link.springer.com/article/10.1007/s11432-024-4155-7,Article
Predictive Methods in Economics: The Link Between Econophysics and Artificial Intelligence,Monetary Policy Normalization,,,,10.1007/978-3-031-38708-1_6,Antonio Simeone,2023,https://link.springer.com/chapter/10.1007/978-3-031-38708-1_6,Chapter
Call-Based Smart Transportation Using Artificial Intelligence,"Multimedia Technologies in the Internet of Things Environment, Volume 3",,,,10.1007/978-981-19-0924-5_8,M. Mohammed MustafaKorhan Cengiz,2022,https://link.springer.com/chapter/10.1007/978-981-19-0924-5_8,Chapter
WHY: Perspective: POZE—A Multidisciplinary Framework of Life,Human Leadership for Humane Technology,,,,10.1007/978-3-031-67823-3_1,Cornelia C. Walther,2024,https://link.springer.com/chapter/10.1007/978-3-031-67823-3_1,Chapter
Trends in Computing and Memory Technologies,Emerging Computing: From Devices to Systems,,,,10.1007/978-981-16-7487-7_1,Mohamed M. Sabry AlyAnupam Chattopadhyay,2023,https://link.springer.com/chapter/10.1007/978-981-16-7487-7_1,Chapter
A Quantum Machine Learning Model for Medical Data Classification,Machine Intelligence for Smart Applications,,,,10.1007/978-3-031-37454-8_5,Hamza Kamel AhmedBaraa TantawiMalak MagdyGehad Ismail Sayed,2023,https://link.springer.com/chapter/10.1007/978-3-031-37454-8_5,Chapter
AI and the big unknown,Re-Thinking Translator Education,,,,10.57088/978-3-7329-9133-4_16,Begoña Rodríguez de CéspedesSarah Bawa Mason,2022,https://link.springer.com/chapter/10.57088/978-3-7329-9133-4_16,Chapter
The Industrial Use Cases of Embodied AI Systems,"Building Embodied AI Systems: The Agents, the Architecture Principles, Challenges, and Application Domains",,,,10.1007/978-3-031-68256-8_16,M. Shanmuga SundariKisara Rishitha,2024,https://link.springer.com/chapter/10.1007/978-3-031-68256-8_16,Chapter
Cognition of Time and Thinking Beyond,Neurobiology of Interval Timing,,,,10.1007/978-3-031-60183-5_10,Zedong Bi,2024,https://link.springer.com/chapter/10.1007/978-3-031-60183-5_10,Chapter
Robotic process automation in banking industry: a case study on Deutsche Bank,Journal of Banking and Financial Technology,,,,10.1007/s42786-021-00030-9,Alice Saldanha VillarNawaz Khan,2021,https://link.springer.com/article/10.1007/s42786-021-00030-9,Article
"6G: Vision, Applications, and Challenges",Fundamentals of 6G Communications and Networking,,,,10.1007/978-3-031-37920-8_2,Daniel Benevides da CostaQiyang ZhaoMarwa ChafiiFaouzi BaderMérouane Debbah,2024,https://link.springer.com/chapter/10.1007/978-3-031-37920-8_2,Chapter
QRLaXAI: quantum representation learning and explainable AI,Quantum Machine Intelligence,,,,10.1007/s42484-025-00253-9,Asitha Kottahachchi Kankanamge DonIbrahim Khalil,2025,https://link.springer.com/article/10.1007/s42484-025-00253-9,Article
A novel network intrusion detection method based on metaheuristic optimisation algorithms,Journal of Ambient Intelligence and Humanized Computing,,,,10.1007/s12652-023-04571-3,Reza GhanbarzadehAli HosseinalipourAli Ghaffari,2023,https://link.springer.com/article/10.1007/s12652-023-04571-3,Article
Leveraging AI-enhanced and emerging technologies for pedagogical innovations in higher education,Education and Information Technologies,,,,10.1007/s10639-024-13122-y,Anass Bayaga,2024,https://link.springer.com/article/10.1007/s10639-024-13122-y,Article
Supporting Technology of E-Commerce,Introduction to E-Commerce,,,,10.1007/978-981-97-7790-7_3,Zheng QinGuolong WangWanqiu DengYanli Hao,2024,https://link.springer.com/chapter/10.1007/978-981-97-7790-7_3,Chapter
Future Application Prospects,Software Defined Chips,,,,10.1007/978-981-19-7636-0_5,Leibo LiuShaojun WeiJianfeng ZhuChenchen Deng,2023,https://link.springer.com/chapter/10.1007/978-981-19-7636-0_5,Chapter
Artificial intelligence trend analysis in German business and politics: a web mining approach,International Journal of Data Science and Analytics,,,,10.1007/s41060-023-00483-9,Philipp DumbachLeo SchwinnTim LöhrTassilo ElsbergerBjoern M. Eskofier,2023,https://link.springer.com/article/10.1007/s41060-023-00483-9,Article
N–R,Fintech Dictionary,,,,10.1007/978-3-658-36056-6_4,Rainer AltStefan Huch,2022,https://link.springer.com/chapter/10.1007/978-3-658-36056-6_4,Chapter
Machine Learning for Prediction of Cardiovascular Disease and Respiratory Disease: A Review,SN Computer Science,,,,10.1007/s42979-023-02529-y,Gaurav ParasharAlka ChaudharyDilkeshwar Pandey,2024,https://link.springer.com/article/10.1007/s42979-023-02529-y,Article
Applications of Quantum Annealing to Music Theory,Quantum Computer Music,,,,10.1007/978-3-031-13909-3_15,Ashish AryaLudmila BotelhoFabiola CañeteDhruvi KapadiaÖzlem Salehi,2022,https://link.springer.com/chapter/10.1007/978-3-031-13909-3_15,Chapter
OntoKIQE: An Ontology Infused Approach for Knowledge Integrated Query Expansion Using Semantic Intelligence,Digital Technologies and Applications,,,,10.1007/978-3-031-02447-4_41,Vignesh MohanaveluGerard DeepakA. Santhanavijayan,2022,https://link.springer.com/chapter/10.1007/978-3-031-02447-4_41,Conference paper
Role of Artificial Intelligence and Machine Learning,Digital Resilience: Navigating Disruption and Safeguarding Data Privacy,,,,10.1007/978-3-031-53290-0_6,Shishir Kumar ShandilyaAgni DattaYash KartikAtulya Nagar,2024,https://link.springer.com/chapter/10.1007/978-3-031-53290-0_6,Chapter
Platforms for Banking 5.0,Banking 5.0,,,,10.1007/978-3-030-75871-4_8,Bernardo Nicoletti,2021,https://link.springer.com/chapter/10.1007/978-3-030-75871-4_8,Chapter
Cyber Threats and National Security: The Use and Abuse of Artificial Intelligence,Handbook of Security Science,,,,10.1007/978-3-319-91875-4_84,Reza Montasari,2022,https://link.springer.com/rwe/10.1007/978-3-319-91875-4_84,Reference work entry
Recent trends in computational intelligence for educational big data analysis,Iran Journal of Computer Science,,,,10.1007/s42044-023-00158-5,Anayo Chukwu IkegwuHenry Friday NwekeChioma Virginia Anikwe,2023,https://link.springer.com/article/10.1007/s42044-023-00158-5,Article
Human and Computer Networks,Human-Centered AI: An Illustrated Scientific Quest,,,,10.1007/978-3-031-61375-3_8,J. FernandesA. RodriguesF. BoavidaJ. Sá Silva,2025,https://link.springer.com/chapter/10.1007/978-3-031-61375-3_8,Chapter
Single sample face recognition using deep learning: a survey,Artificial Intelligence Review,,,,10.1007/s10462-023-10551-y,Vivek TomarNitin KumarAyush Raj Srivastava,2023,https://link.springer.com/article/10.1007/s10462-023-10551-y,Article
Artificial Intelligence,Innovation in the Public Sector,,,,10.1007/978-3-031-11331-4_4,Fatih Demir,2022,https://link.springer.com/chapter/10.1007/978-3-031-11331-4_4,Chapter
Proceedings of International Conference on Computational Intelligence,Algorithms for Intelligent Systems,,,,10.1007/978-981-16-3802-2,Ritu TiwariApoorva MishraNeha YadavMario Pavone,2021,https://link.springer.com/book/10.1007/978-981-16-3802-2,Conference proceedings
Exact Solutions of the Generalized Third-Order Nonlinear Schrödinger Equation Using the Trial Equation Method and the Complete Discriminant System for Polynomial Method with Applications in Optical Fibers,International Journal of Applied and Computational Mathematics,,,,10.1007/s40819-025-01872-3,Na SunYuxue Wang,2025,https://link.springer.com/article/10.1007/s40819-025-01872-3,Article
Not Plug-and-Play: Successful Adoption of an AI-Based Learning Experience Platform,Artificial Intelligence Education in the Context of Work,,,,10.1007/978-3-031-14489-9_13,Nadia Eggmann,2022,https://link.springer.com/chapter/10.1007/978-3-031-14489-9_13,Chapter
The Categorical Integration of Symbolic and Statistical AI: Quantum NLP and Applications to Cognitive and Machine Bias Problems,Intelligent Systems Design and Applications,,,,10.1007/978-3-030-49342-4_45,Yoshihiro Maruyama,2021,https://link.springer.com/chapter/10.1007/978-3-030-49342-4_45,Conference paper
Technological Innovation of the NTPS,New Type of Power System And Energy System,,,,10.1007/978-981-96-1112-6_5,Baoan XIN,2025,https://link.springer.com/chapter/10.1007/978-981-96-1112-6_5,Chapter
Using a Multi-sourced Methodology to Identify Challenges in Software Technologies Research,Advances in Service-Oriented and Cloud Computing,,,,10.1007/978-3-031-23298-5_10,Juncal AlonsoLeire Orue-EchevarriaGalia NedeltchevaElisabetta Di Nitto,2022,https://link.springer.com/chapter/10.1007/978-3-031-23298-5_10,Conference paper
Utilization of artificial intelligence and machine learning in chemistry education: a critical review,Discover Education,,,,10.1007/s44217-024-00197-5,Aloys IyamuremyeFrancois Niyongabo NiyonzimaJanvier MukizaInnocent TwagilimanaPascasie NyirahabimanaTheophile NsengimanaJean Dieu HabiyaremyeOlivier HabimanaEzechiel Nsabayezu,2024,https://link.springer.com/article/10.1007/s44217-024-00197-5,Article
Risky Incrementalism: Defense AI in the United States,The Very Long Game,,,,10.1007/978-3-031-58649-1_2,Lauren A. Kahn,2024,https://link.springer.com/chapter/10.1007/978-3-031-58649-1_2,Chapter
Enhanced security data management in power grids using deep learning with genetic algorithm-based hyperparameter optimization,Peer-to-Peer Networking and Applications,,,,10.1007/s12083-025-01936-7,Xianqi Cao,2025,https://link.springer.com/article/10.1007/s12083-025-01936-7,Article
Technology Landscape for Making Climate and Environmental Science “Actionable”,Actionable Science of Global Environment Change,,,,10.1007/978-3-031-41758-0_3,Ziheng Sun,2023,https://link.springer.com/chapter/10.1007/978-3-031-41758-0_3,Chapter
"A Review on Cyber-Twin in Sixth Generation Wireless Networks: Architecture, Research Challenges &amp; Issues",Wireless Personal Communications,,,,10.1007/s11277-024-11577-3,A. NivethaK. S. Preetha,2024,https://link.springer.com/article/10.1007/s11277-024-11577-3,Article
A Review of Machine Learning Classification Using Quantum Annealing for Real-World Applications,SN Computer Science,,,,10.1007/s42979-021-00751-0,Rajdeep Kumar NathHimanshu ThapliyalTravis S. Humble,2021,https://link.springer.com/article/10.1007/s42979-021-00751-0,Article
Machine Learning Applications and Attacks Using Side Channel Analysis,AI-Enabled Electronic Circuit and System Design,,,,10.1007/978-3-031-71436-8_11,Chaitanya BhureGeraldine Shirley NicholasFareena Saqib,2025,https://link.springer.com/chapter/10.1007/978-3-031-71436-8_11,Chapter
Interpreting Black-Box Models: A Review on Explainable Artificial Intelligence,Cognitive Computation,,,,10.1007/s12559-023-10179-8,Vikas HassijaVinay ChamolaAtmesh MahapatraAbhinandan SingalDivyansh GoelKaizhu HuangSimone ScardapaneIndro SpinelliMufti MahmudAmir Hussain,2023,https://link.springer.com/article/10.1007/s12559-023-10179-8,Article
Overview of CAMS,Computational Artificial Intelligence and Methods for industries,,,,10.1007/978-981-96-5277-8_1,Vijayarangan Natarajan,2025,https://link.springer.com/chapter/10.1007/978-981-96-5277-8_1,Chapter
Multi-Agent Coordination,Agentic AI,,,,10.1007/978-3-031-90026-6_3,Ken HuangJerry Huang,2025,https://link.springer.com/chapter/10.1007/978-3-031-90026-6_3,Chapter
Development of Network Information Technology in the World,World Internet Development Report 2019,,,,10.1007/978-981-33-6938-2_2,Chinese Academy of Cyberspace Studies,2021,https://link.springer.com/chapter/10.1007/978-981-33-6938-2_2,Chapter
Character-Level Quantum Mechanical Approach for a Neural Language Model,International Journal of Computational Intelligence Systems,,,,10.2991/ijcis.d.191114.001,Zhihao WangMin RenXiaoyan TianXia Liang,2019,https://link.springer.com/article/10.2991/ijcis.d.191114.001,Article
Technology Trends—Historical and Future Drivers of Change,Deliberately Digital,,,,10.1007/978-3-030-37955-1_4,Hubert TardieuDavid DalyJosé Esteban-LauzánJohn HallGeorge Miller,2020,https://link.springer.com/chapter/10.1007/978-3-030-37955-1_4,Chapter
MULTICAUSENET temporal attention for multimodal emotion cause pair extraction,Scientific Reports,,,,10.1038/s41598-025-01221-w,Ma JunchiHassan Nazeer ChaudhryFarzana KulsoomYang GuihuaSajid Ullah KhanSujit BiswasZahid Ullah KhanFaheem Khan,2025,https://link.springer.com/article/10.1038/s41598-025-01221-w,Article
Machine learning- and deep learning-based anomaly detection in firewalls: a survey,The Journal of Supercomputing,,,,10.1007/s11227-025-07212-y,Hanen DhrirMaha CharfeddineNesrine TarhouniHabib M. Kammoun,2025,https://link.springer.com/article/10.1007/s11227-025-07212-y,Article
Sampling-Like Dynamics of the Nonlinear Dynamical System Combined with Optimization,Photonic Neural Networks with Spatiotemporal Dynamics,,,,10.1007/978-981-99-5072-0_10,Hiroshi Yamashita,2024,https://link.springer.com/chapter/10.1007/978-981-99-5072-0_10,Chapter
Materials and devices as solutions to computational problems in machine learning,Nature Electronics,,,,10.1038/s41928-023-00977-1,Nathaniel Joseph TyeStephan HofmannPhillip Stanley-Marbell,2023,https://link.springer.com/article/10.1038/s41928-023-00977-1,Article
"Deep learning applications in the Internet of Things: a review, tools, and future directions",Evolutionary Intelligence,,,,10.1007/s12065-024-00949-0,Parisa RaoufiAtefeh HemmatiAmir Masoud Rahmani,2024,https://link.springer.com/article/10.1007/s12065-024-00949-0,Article
Artificial Intelligence,Digital Fluency,,,,10.1007/978-1-4842-6774-5_4,Volker Lang,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6774-5_4,Chapter
An Overview About Mechanics Developments and Achievements in the Context of Industry 4.0,International Conference on Reliable Systems Engineering (ICoRSE) - 2023,,,,10.1007/978-3-031-40628-7_2,Cristina LincaruFlorentina BadeaSperanța PîrciogAdriana GrigorescuSorin-Ionut BadeaCristian-Radu Badea,2023,https://link.springer.com/chapter/10.1007/978-3-031-40628-7_2,Conference paper
The processing of pseudoword form and meaning in production and comprehension: A computational modeling approach using linear discriminative learning,Behavior Research Methods,,,,10.3758/s13428-020-01356-w,Yu-Ying ChuangMarie Lenka VollmerElnaz Shafaei-BajestanSusanne GahlPeter HendrixR. Harald Baayen,2020,https://link.springer.com/article/10.3758/s13428-020-01356-w,Article
A–D,Fintech Dictionary,,,,10.1007/978-3-658-36056-6_1,Rainer AltStefan Huch,2022,https://link.springer.com/chapter/10.1007/978-3-658-36056-6_1,Chapter
Artificial intelligence in the long view: from mechanical intelligence to cyber-social systems,Discover Artificial Intelligence,,,,10.1007/s44163-022-00029-1,Bill CopeMary Kalantzis,2022,https://link.springer.com/article/10.1007/s44163-022-00029-1,Article
Spices Informatics Network and Value Chain for Open Innovation and Value Creation Network,Handbook of Spices in India: 75 Years of Research and Development,,,,10.1007/978-981-19-3728-6_21,Moni Madaswamy,2024,https://link.springer.com/rwe/10.1007/978-981-19-3728-6_21,Reference work entry
Artificial intelligence (AI) will enable improved diagnosis and treatment outcomes,Physical and Engineering Sciences in Medicine,,,,10.1007/s13246-021-01034-x,Lois HollowayEva BezakClive Baldock,2021,https://link.springer.com/article/10.1007/s13246-021-01034-x,Article
